	V1	meanHet	SE_het	NAs	population	group	knnImputed	binomImputed	binomPopulation
272	SK_08_20_HFNFVBBXY	0.2303689687795648	0.010844967229056967	80.0	SK_08	SK	0.22880583409298083	0.23883317	0.2584321
273	SK_08_21_HFNFVBBXY	0.268762677484787	0.009679611751397183	222.0	SK_08	SK	0.2607110300820419	0.29079306	0.34275296
274	SK_08_22_HFNFVBBXY	0.27327028372324536	0.009170226184646139	185.0	SK_08	SK	0.268003646308113	0.28851414	0.33454877
275	SK_08_23_HFNFVBBXY	0.20606372045220966	0.008662876084697627	248.0	SK_08	SK	0.20783956244302648	0.2420237	0.18277119
276	SK_08_24_HFNFVBBXY	0.20171428571428573	0.008630179192893776	444.0	SK_08	SK	0.20783956244302648	0.2588879	0.36326346
277	SK_08_25_HFNFVBBXY	0.2475294117647059	0.009541333400062026	69.0	SK_08	SK	0.24475843208751136	0.25478578	0.27119416
278	SK_08_26_HFNFVBBXY	0.25591501690004825	0.009529741585210867	123.0	SK_08	SK	0.2502278942570647	0.26891524	0.2976299
279	SK_08_27_HFNFVBBXY	0.26835081029551955	0.010358035595960045	96.0	SK_08	SK	0.26435733819507745	0.28304467	0.30036464
280	SK_08_28_HFNFVBBXY	0.21852033317001474	0.008552343947868773	153.0	SK_08	SK	0.22196900638103922	0.23609845	0.20328167
281	SK_08_29_HFNFVBBXY	0.2661971830985915	0.009537072857554724	64.0	SK_08	SK	0.26162260711030083	0.27073836	0.2584321
282	SK_08_2_HFH73BBXY	0.27212494084240413	0.009561721469149725	81.0	SK_08	SK	0.2698268003646308	0.27939835	0.29899725
283	SK_08_30_HFNFVBBXY	0.23106423777564722	0.009826812615473598	108.0	SK_08	SK	0.23154056517775756	0.24111213	0.21969007
284	SK_08_31_HFNFVBBXY	0.30162412993039445	0.009905649606250634	39.0	SK_08	SK	0.300820419325433	0.30537832	0.31403828
285	SK_08_32_HFNFVBBXY	0.24459320288362518	0.009878450646589442	252.0	SK_08	SK	0.24247948951686416	0.2734731	0.21649954
286	SK_08_33_HFNFVBBXY	0.2906024096385542	0.010343242250726302	119.0	SK_08	SK	0.2848678213309025	0.29899725	0.3290793
287	SK_08_34_HFNFVBBXY	0.24558050645007168	0.010035291166861908	101.0	SK_08	SK	0.24247948951686416	0.25341842	0.2342753
288	SK_08_35_HFNFVBBXY	0.2534805568891022	0.009184775379901651	111.0	SK_08	SK	0.24840474020054693	0.26754785	0.24065633
289	SK_08_36_HFNFVBBXY	0.2802044609665427	0.010205322662105167	42.0	SK_08	SK	0.2780309936189608	0.28395623	0.27484047
290	SK_08_37_HFNFVBBXY	0.2758145938503901	0.008759191321350963	15.0	SK_08	SK	0.27484047402005474	0.278031	0.2739289
291	SK_08_38_HFNFVBBXY	0.27696793002915454	0.008762941317222066	136.0	SK_08	SK	0.27073837739288975	0.29079306	0.3217867
292	SK_08_39_HFNFVBBXY	0.22206165703275527	0.008937907221767225	118.0	SK_08	SK	0.22105742935278028	0.23062898	0.26390156
293	SK_08_3_HFNFVBBXY	0.22491174987392837	0.009029169488424669	211.0	SK_08	SK	0.223792160437557	0.25615314	0.20328167
294	SK_08_40_HFNFVBBXY	0.2831353919239905	0.009506386472125964	89.0	SK_08	SK	0.27757520510483136	0.29216045	0.27164996
295	SK_08_41_HFNFVBBXY	0.24048780487804877	0.008167221411470586	144.0	SK_08	SK	0.23837739288969917	0.25341842	0.22470374
